label,replicate,budget,n_eval,eval_base_accuracy,n_train_traces,n_correct_traces,n_probe_traces,train_base_accuracy,auroc_rmd_tail_q20,auroc_probe_hidden_tail_q20,aurc_B0,auacc_B0,excess_aurc_B0,aurc_B0_rmd,auacc_B0_rmd,excess_aurc_B0_rmd,aurc_B0_probe,auacc_B0_probe,excess_aurc_B0_probe,aurc_B0_both,auacc_B0_both,excess_aurc_B0_both,delta_aurc_B0_rmd_minus_B0,delta_aurc_B0_probe_minus_B0,delta_aurc_B0_rmd_minus_B0_probe,delta_aurc_B0_both_minus_B0_rmd,seconds
deepseek_qwen,0,25,75,0.76,200,149,180,0.76,0.7436647173489278,0.7251461988304093,0.1293108464711722,0.8573558201954945,-0.09735582019549449,0.12901491112771524,0.8576517555389515,-0.09765175553895145,0.1424109573557052,0.8442557093109615,-0.08425570931096149,0.12656030149702746,0.8601063651696392,-0.10010636516963922,-0.0002959353434569545,0.013100110884533,-0.013396046227989955,-0.0024546096306877763,32.98906636238098
deepseek_qwen,0,50,75,0.76,400,302,363,0.78,0.7738791423001949,0.7387914230019493,0.140135057547482,0.8465316091191847,-0.08653160911918467,0.1295366666970872,0.8571299999695795,-0.0971299999695795,0.12237774782787891,0.8642889188387878,-0.10428891883878777,0.1281461240818229,0.8585205425848438,-0.09852054258484377,-0.010598390850394823,-0.017757309719603098,0.007158918869208275,-0.0013905426152642786,52.155357360839844
deepseek_qwen,0,100,75,0.76,800,596,725,0.8,0.7543859649122807,0.7309941520467835,0.11778728384352444,0.8688793828231423,-0.10887938282314225,0.11864804453573197,0.8680186221309347,-0.10801862213093472,0.08236099991230528,0.9043056667543614,-0.1443056667543614,0.08802985817071429,0.8986368084959524,-0.1386368084959524,0.0008607606922075295,-0.03542628393121916,0.03628704462342669,-0.030618186365017674,90.93968462944031
deepseek_qwen,0,200,75,0.76,1600,1138,1444,0.755,0.8245614035087718,0.8508771929824561,0.1228898065663202,0.8637768601003465,-0.10377686010034648,0.08385811903764173,0.902808547629025,-0.14280854762902495,0.06293344350036545,0.9237332231663012,-0.16373322316630123,0.06312519896497992,0.9235414677016868,-0.16354146770168676,-0.03903168752867847,-0.059956363065954754,0.020924675537276283,-0.02073292007266181,143.30188488960266
deepseek_qwen,0,400,75,0.76,3200,2274,2922,0.755,0.8148148148148148,0.8469785575048733,0.13653743141728125,0.8501292352493854,-0.09012923524938543,0.10073393146204501,0.8859327352046217,-0.12593273520462167,0.0653064460306958,0.9213602206359709,-0.16136022063597089,0.07014224082160847,0.9165244258450582,-0.1565244258450582,-0.03580349995523624,-0.07123098538658545,0.035427485431349215,-0.030591690640436542,315.51930809020996
deepseek_qwen,1,25,75,0.8133333333333334,200,127,181,0.68,0.6194379391100702,0.5913348946135831,0.19659047359984394,0.7900761930668228,0.0232571402665106,0.2007332686517903,0.7859333980148764,0.02739993531845697,0.19178014894553963,0.7948865177211271,0.01844681561220629,0.19989712359068024,0.7867695430759865,0.026563790257346898,0.0041427950519463685,-0.00481032465430431,0.008953119706250678,-0.0008361450611100718,37.59800171852112
deepseek_qwen,1,50,75,0.8133333333333334,400,275,371,0.74,0.6955503512880561,0.6744730679156908,0.21326207832531807,0.7734045883413486,0.03992874499198473,0.1537991739863469,0.8328674926803198,-0.019534159346986435,0.1709022483779955,0.8157644182886712,-0.0024310849553378366,0.13664104314906422,0.8500256235176025,-0.036692290184269116,-0.05946290433897117,-0.04235982994732257,-0.0171030743916486,-0.01715813083728268,54.33902359008789
deepseek_qwen,1,100,75,0.8133333333333334,800,578,732,0.78,0.7412177985948478,0.6522248243559718,0.16596137037198833,0.8207052962946784,-0.007371962961345013,0.1282260352187462,0.8584406314479205,-0.045107298114587135,0.12259978173389496,0.8640668849327717,-0.050733551599438376,0.1259630880706908,0.8607035785959759,-0.04737024526264255,-0.03773533515324212,-0.04336158863809336,0.00562625348485124,-0.0022629471480554164,78.41587281227112
deepseek_qwen,1,200,75,0.8133333333333334,1600,1100,1475,0.73,0.7412177985948477,0.7166276346604215,0.12170938873901249,0.8649572779276542,-0.05162394459432085,0.05634434773161823,0.9303223189350485,-0.11698898560171511,0.08376262636129206,0.9029040403053746,-0.08957070697204128,0.06591520690364538,0.9207514597630213,-0.10741812642968795,-0.06536504100739426,-0.03794676237772043,-0.02741827862967383,0.009570859172027157,163.95236730575562
deepseek_qwen,1,400,75,0.8133333333333334,3200,2242,2939,0.7475,0.7494145199063231,0.7740046838407494,0.1130329824752846,0.8736336841913821,-0.060300350858048746,0.05944989328467243,0.9272167733819943,-0.11388344004866091,0.07025442598531195,0.9164122406813547,-0.10307890734802139,0.07213989311810609,0.9145267735485606,-0.10119344021522725,-0.053583089190612165,-0.04277855648997264,-0.010804532700639524,0.012689999833433663,296.06688141822815
deepseek_qwen,2,25,78,0.8589743589743589,200,124,180,0.64,0.5101763907734057,0.6363636363636364,0.11611078188006019,0.871068705299427,-0.012094346325068117,0.09717446361536419,0.890005023564123,-0.031030664589764112,0.1460020631356399,0.8411774240438473,0.0177969349305116,0.13680308416296183,0.8503764030165254,0.008597955957833525,-0.018936318264695995,0.029891281255579716,-0.04882759952027571,0.03962862054759764,33.38391947746277
